Group,Size,File,Value,Weight,Optimal,Time(s),Status
00Uncorrelated,n00050,00Uncorrelated\n00050\R01000\s000.kp,0,0,True,0.00,solved
00Uncorrelated,n00100,00Uncorrelated\n00100\R01000\s000.kp,2699,88,True,0.00,solved
00Uncorrelated,n00200,00Uncorrelated\n00200\R01000\s000.kp,4116,198,True,0.00,solved
00Uncorrelated,n00500,00Uncorrelated\n00500\R01000\s000.kp,13649,499,True,0.00,solved
00Uncorrelated,n01000,00Uncorrelated\n01000\R01000\s000.kp,25518,1000,True,0.00,solved
01WeaklyCorrelated,n00050,01WeaklyCorrelated\n00050\R01000\s000.kp,129,17,True,0.00,solved
01WeaklyCorrelated,n00100,01WeaklyCorrelated\n00100\R01000\s000.kp,234,92,True,0.00,solved
01WeaklyCorrelated,n00200,01WeaklyCorrelated\n00200\R01000\s000.kp,751,200,True,0.00,solved
01WeaklyCorrelated,n00500,01WeaklyCorrelated\n00500\R01000\s000.kp,1538,500,True,0.00,solved
01WeaklyCorrelated,n01000,01WeaklyCorrelated\n01000\R01000\s000.kp,3503,1000,True,0.00,solved
02StronglyCorrelated,n00050,02StronglyCorrelated\n00050\R01000\s000.kp,217,17,True,0.00,solved
02StronglyCorrelated,n00100,02StronglyCorrelated\n00100\R01000\s000.kp,400,100,True,0.00,solved
02StronglyCorrelated,n00200,02StronglyCorrelated\n00200\R01000\s000.kp,1100,200,True,0.00,solved
02StronglyCorrelated,n00500,02StronglyCorrelated\n00500\R01000\s000.kp,2700,500,True,0.00,solved
02StronglyCorrelated,n01000,02StronglyCorrelated\n01000\R01000\s000.kp,5800,1000,True,0.22,solved
03InverseStronglyCorrelated,n00050,03InverseStronglyCorrelated\n00050\R01000\s000.kp,0,0,True,0.00,solved
03InverseStronglyCorrelated,n00100,03InverseStronglyCorrelated\n00100\R01000\s000.kp,0,0,True,0.00,solved
03InverseStronglyCorrelated,n00200,03InverseStronglyCorrelated\n00200\R01000\s000.kp,90,190,True,0.00,solved
03InverseStronglyCorrelated,n00500,03InverseStronglyCorrelated\n00500\R01000\s000.kp,399,499,True,0.00,solved
03InverseStronglyCorrelated,n01000,03InverseStronglyCorrelated\n01000\R01000\s000.kp,900,1000,True,0.00,solved
04AlmostStronglyCorrelated,n00050,04AlmostStronglyCorrelated\n00050\R01000\s000.kp,218,17,True,0.00,solved
04AlmostStronglyCorrelated,n00100,04AlmostStronglyCorrelated\n00100\R01000\s000.kp,399,100,True,0.00,solved
04AlmostStronglyCorrelated,n00200,04AlmostStronglyCorrelated\n00200\R01000\s000.kp,1104,200,True,0.00,solved
04AlmostStronglyCorrelated,n00500,04AlmostStronglyCorrelated\n00500\R01000\s000.kp,2699,500,True,0.00,solved
04AlmostStronglyCorrelated,n01000,04AlmostStronglyCorrelated\n01000\R01000\s000.kp,5801,1000,True,0.03,solved
05SubsetSum,n00050,05SubsetSum\n00050\R01000\s000.kp,17,17,True,0.00,solved
05SubsetSum,n00100,05SubsetSum\n00100\R01000\s000.kp,100,100,True,0.00,solved
05SubsetSum,n00200,05SubsetSum\n00200\R01000\s000.kp,200,200,True,0.00,solved
05SubsetSum,n00500,05SubsetSum\n00500\R01000\s000.kp,500,500,True,0.00,solved
05SubsetSum,n01000,05SubsetSum\n01000\R01000\s000.kp,1000,1000,True,0.00,solved
06UncorrelatedWithSimilarWeights,n00050,06UncorrelatedWithSimilarWeights\n00050\R01000\s000.kp,0,0,True,0.00,solved
06UncorrelatedWithSimilarWeights,n00100,06UncorrelatedWithSimilarWeights\n00100\R01000\s000.kp,0,0,True,0.00,solved
06UncorrelatedWithSimilarWeights,n00200,06UncorrelatedWithSimilarWeights\n00200\R01000\s000.kp,0,0,True,0.00,solved
06UncorrelatedWithSimilarWeights,n00500,06UncorrelatedWithSimilarWeights\n00500\R01000\s000.kp,0,0,True,0.00,solved
06UncorrelatedWithSimilarWeights,n01000,06UncorrelatedWithSimilarWeights\n01000\R01000\s000.kp,0,0,True,0.00,solved
07SpannerUncorrelated,n00050,07SpannerUncorrelated\n00050\R01000\s000.kp,136,46,True,0.00,solved
07SpannerUncorrelated,n00100,07SpannerUncorrelated\n00100\R01000\s000.kp,272,92,True,0.00,solved
07SpannerUncorrelated,n00200,07SpannerUncorrelated\n00200\R01000\s000.kp,552,199,True,0.51,solved
07SpannerUncorrelated,n00500,07SpannerUncorrelated\n00500\R01000\s000.kp,0,0,False,10.00,timeout
